OrderID,SupplierID,ProductID,OrderDate,Warehouse,Quantity,UnitPrice,Amount,PaymentStatus
80,133,10,2025-05-10,Liberec Warehouse,182,1018,185276,Paid
81,482,60,2025-09-30,Olomouc Warehouse,117,1219,142623,Paid
82,304,2,2023-08-05,Ostrava Warehouse,122,805,98210,Paid
83,293,15,2025-06-06,Plzen Warehouse,182,3530,642460,Pending
84,463,3,2025-01-11,Brno Warehouse,41,2961,121401,Paid
85,300,43,2025-07-30,Ostrava Warehouse,48,4594,220512,Paid
86,228,31,2023-11-10,Brno Warehouse,51,1907,97257,Paid
87,271,70,2025-06-10,Ceske Budejovice Warehouse,175,1499,262325,Paid
88,43,67,2023-12-27,Prague Warehouse,178,2749,489322,Paid
89,432,56,2025-12-04,Olomouc Warehouse,118,4523,533714,Paid
90,343,63,2024-07-07,Brno Warehouse,96,1395,133920,Overdue
91,326,75,2025-09-17,Ostrava Warehouse,76,1720,130720,Paid
92,302,15,2025-08-10,Brno Warehouse,46,2542,116932,Paid
93,498,92,2025-06-11,Brno Warehouse,100,2695,269500,Overdue
94,364,10,2024-07-03,Brno Warehouse,38,4272,162336,Paid
95,379,38,2024-10-22,Liberec Warehouse,92,1172,107824,Paid
96,427,47,2024-05-17,Brno Warehouse,141,4175,588675,Paid
97,493,57,2023-06-27,Olomouc Warehouse,150,1549,232350,Paid
98,21,50,2024-07-25,Ostrava Warehouse,130,4042,525460,Paid
99,407,71,2025-07-12,Ostrava Warehouse,93,1871,174003,Paid
100,107,15,2024-05-14,Ostrava Warehouse,77,1117,86009,Paid
101,336,18,2025-08-09,Zlin Warehouse,13,3792,49296,Paid
102,303,82,2025-02-15,Brno Warehouse,57,4324,246468,Paid
103,117,88,2024-11-19,Prague Warehouse,162,618,100116,Paid
104,124,2,2023-02-28,Ceske Budejovice Warehouse,147,2451,360297,Overdue
105,399,84,2025-10-09,Prague Warehouse,137,1235,169195,Pending
106,281,98,2024-10-27,Pardubice Warehouse,116,2872,333152,Pending
107,292,43,2024-01-08,Prague Warehouse,95,1011,96045,Paid
108,203,26,2025-09-25,Plzen Warehouse,161,915,147315,Paid
109,51,71,2024-03-10,Prague Warehouse,155,1073,166315,Paid
110,271,38,2024-12-27,Ceske Budejovice Warehouse,173,2062,356726,Pending
111,324,94,2024-06-13,Ostrava Warehouse,130,2966,385580,Paid
112,277,42,2024-11-28,Brno Warehouse,79,2510,198290,Pending
113,141,5,2024-07-26,Prague Warehouse,57,3202,182514,Overdue
114,470,11,2024-07-19,Brno Warehouse,95,1900,180500,Paid
115,275,65,2023-01-21,Olomouc Warehouse,57,908,51756,Paid
116,290,34,2025-11-24,Brno Warehouse,144,669,96336,Paid
117,334,1,2024-01-27,Brno Warehouse,107,1069,114383,Paid
118,381,83,2023-06-25,Plzen Warehouse,79,4179,330141,Paid
119,452,2,2024-05-09,Brno Warehouse,134,1979,265186,Paid
120,496,85,2025-04-12,Prague Warehouse,14,3419,47866,Paid
121,373,20,2025-09-27,Prague Warehouse,27,4805,129735,Paid
122,52,61,2024-05-07,Olomouc Warehouse,38,487,18506,Pending
123,494,87,2025-09-02,Zlin Warehouse,147,4954,728238,Overdue
124,27,21,2025-10-02,Brno Warehouse,165,2589,427185,Pending
125,157,88,2025-07-06,Liberec Warehouse,127,615,78105,Paid
126,239,68,2023-02-05,Prague Warehouse,4,3944,15776,Paid
127,156,12,2023-07-10,Brno Warehouse,58,2990,173420,Paid
128,291,22,2024-08-25,Ostrava Warehouse,137,4240,580880,Paid
129,136,20,2024-03-29,Brno Warehouse,113,1542,174246,Paid
130,144,82,2025-04-08,Ostrava Warehouse,168,822,138096,Paid
131,106,1,2024-05-13,Ceske Budejovice Warehouse,143,855,122265,Paid
132,420,30,2024-09-19,Hradec Kralove Warehouse,4,2350,9400,Paid
133,158,97,2025-01-25,Prague Warehouse,52,2008,104416,Paid
134,146,24,2025-08-27,Brno Warehouse,146,2686,392156,Pending
135,2,14,2025-12-23,Zlin Warehouse,181,485,87785,Overdue
136,433,36,2024-12-05,Brno Warehouse,187,3115,582505,Overdue
137,77,69,2025-05-21,Olomouc Warehouse,99,4555,450945,Paid
138,132,75,2024-11-08,Brno Warehouse,182,4187,762034,Pending
139,90,24,2024-12-21,Brno Warehouse,169,1591,268879,Paid
140,345,60,2025-07-18,Prague Warehouse,188,2067,388596,Pending
141,350,95,2024-07-08,Pardubice Warehouse,93,4400,409200,Pending
142,459,55,2024-09-19,Ceske Budejovice Warehouse,117,3418,399906,Paid
143,263,77,2024-05-29,Brno Warehouse,4,3138,12552,Overdue
144,351,80,2024-04-17,Pardubice Warehouse,85,1172,99620,Paid
145,108,24,2023-09-05,Brno Warehouse,167,4561,761687,Paid
146,74,77,2024-01-30,Prague Warehouse,7,2400,16800,Paid
147,39,24,2024-10-08,Liberec Warehouse,125,868,108500,Pending
148,397,54,2023-09-02,Plzen Warehouse,151,2779,419629,Paid
149,159,26,2024-01-15,Brno Warehouse,85,1086,92310,Pending
150,71,66,2024-01-28,Brno Warehouse,63,4612,290556,Paid
151,447,80,2024-03-19,Zlin Warehouse,193,3206,618758,Paid
152,312,38,2025-09-18,Pardubice Warehouse,123,2459,302457,Pending
153,241,65,2024-07-20,Liberec Warehouse,169,296,50024,Paid
154,426,75,2025-12-10,Prague Warehouse,89,3144,279816,Paid
155,445,51,2024-08-02,Liberec Warehouse,95,2407,228665,Paid
156,298,35,2023-07-25,Prague Warehouse,119,1489,177191,Paid
157,440,43,2024-02-02,Zlin Warehouse,44,3658,160952,Paid
158,36,29,2024-08-29,Prague Warehouse,102,2681,273462,Paid
159,84,37,2024-04-10,Brno Warehouse,45,2171,97695,Pending
160,452,81,2025-01-09,Ostrava Warehouse,197,3090,608730,Pending
161,374,58,2024-01-03,Pardubice Warehouse,117,1769,206973,Pending
162,263,54,2024-09-11,Liberec Warehouse,51,1517,77367,Paid
163,310,39,2023-01-29,Brno Warehouse,65,2826,183690,Paid
164,385,42,2025-12-29,Ostrava Warehouse,54,4232,228528,Paid
165,172,28,2023-09-17,Pardubice Warehouse,184,2969,546296,Paid
166,376,29,2024-07-15,Prague Warehouse,72,1686,121392,Paid
167,173,43,2023-04-04,Liberec Warehouse,120,4767,572040,Pending
168,362,3,2023-04-22,Hradec Kralove Warehouse,168,4502,756336,Paid
169,47,10,2024-08-21,Prague Warehouse,186,4500,837000,Paid
170,379,59,2023-09-16,Prague Warehouse,143,2326,332618,Paid
171,141,14,2025-10-02,Brno Warehouse,19,3836,72884,Pending
172,375,76,2023-07-30,Prague Warehouse,10,1031,10310,Pending
173,406,47,2023-01-26,Ostrava Warehouse,16,1642,26272,Pending
174,118,42,2024-08-05,Olomouc Warehouse,171,2092,357732,Paid
175,277,94,2025-08-19,Ostrava Warehouse,159,3806,605154,Overdue
176,214,32,2025-09-07,Prague Warehouse,108,4159,449172,Pending
177,220,32,2025-06-21,Plzen Warehouse,16,3649,58384,Paid
178,393,42,2024-11-28,Olomouc Warehouse,80,3244,259520,Pending
179,26,32,2024-01-13,Hradec Kralove Warehouse,28,4992,139776,Paid
180,9,26,2023-04-16,Prague Warehouse,190,1634,310460,Paid
181,271,1,2024-06-01,Olomouc Warehouse,148,3236,478928,Paid
182,10,56,2025-09-05,Ceske Budejovice Warehouse,163,4942,805546,Paid
183,472,2,2023-08-22,Ostrava Warehouse,187,2774,518738,Paid
184,378,81,2023-05-14,Brno Warehouse,9,4648,41832,Overdue
185,121,30,2025-03-31,Prague Warehouse,104,4953,515112,Paid
186,125,71,2025-10-04,Pardubice Warehouse,138,960,132480,Paid
187,170,52,2023-06-01,Brno Warehouse,45,1652,74340,Paid
188,72,91,2023-04-20,Ceske Budejovice Warehouse,109,1492,162628,Paid
189,152,9,2023-11-07,Pardubice Warehouse,143,1979,282997,Overdue
190,208,22,2023-11-02,Brno Warehouse,30,480,14400,Paid
191,49,34,2024-09-14,Plzen Warehouse,48,748,35904,Paid
192,154,49,2023-06-24,Prague Warehouse,168,4441,746088,Pending
193,347,1,2024-05-23,Brno Warehouse,91,3721,338611,Paid
194,293,73,2023-08-31,Olomouc Warehouse,91,4760,433160,Overdue
195,68,84,2025-05-02,Olomouc Warehouse,74,3517,260258,Paid
196,50,53,2024-04-07,Brno Warehouse,44,920,40480,Pending
197,152,83,2025-12-06,Liberec Warehouse,174,571,99354,Pending
198,19,100,2025-02-18,Brno Warehouse,134,2116,283544,Paid
199,100,40,2025-07-11,Ostrava Warehouse,117,221,25857,Paid
200,60,45,2025-06-25,Ostrava Warehouse,24,4976,119424,Pending
201,167,68,2024-08-31,Brno Warehouse,7,2895,20265,Paid
202,202,9,2025-05-28,Hradec Kralove Warehouse,6,4316,25896,Paid
203,345,22,2024-09-17,Olomouc Warehouse,118,2286,269748,Overdue
204,146,18,2023-05-04,Ostrava Warehouse,161,2234,359674,Paid
205,403,76,2023-07-23,Ostrava Warehouse,85,2277,193545,Paid
206,164,43,2024-03-01,Prague Warehouse,110,2399,263890,Paid
207,458,39,2024-03-08,Brno Warehouse,166,1483,246178,Paid
208,481,73,2024-06-25,Olomouc Warehouse,172,3601,619372,Pending
209,439,6,2023-06-16,Ceske Budejovice Warehouse,145,4242,615090,Paid
210,242,83,2023-11-18,Liberec Warehouse,31,2068,64108,Paid
211,69,48,2024-05-06,Brno Warehouse,165,3762,620730,Overdue
212,175,7,2023-12-22,Ostrava Warehouse,139,1933,268687,Pending
213,49,80,2023-06-03,Prague Warehouse,133,4047,538251,Paid
214,483,69,2023-11-17,Prague Warehouse,64,2572,164608,Paid
215,108,16,2023-01-06,Ostrava Warehouse,76,4926,374376,Pending
216,226,1,2025-04-16,Ostrava Warehouse,131,4306,564086,Paid
217,161,37,2025-07-11,Brno Warehouse,56,1350,75600,Paid
218,119,83,2025-08-20,Plzen Warehouse,63,3210,202230,Paid
219,149,37,2024-08-19,Olomouc Warehouse,105,234,24570,Paid
220,465,81,2023-03-08,Brno Warehouse,38,709,26942,Overdue
221,150,64,2024-04-19,Liberec Warehouse,54,1157,62478,Pending
222,432,90,2024-08-13,Prague Warehouse,130,3134,407420,Paid
223,293,86,2024-08-02,Ostrava Warehouse,2,2088,4176,Pending
224,143,62,2025-07-18,Liberec Warehouse,140,3874,542360,Paid
225,419,72,2023-05-26,Ostrava Warehouse,40,2346,93840,Paid
226,476,61,2024-04-23,Ceske Budejovice Warehouse,2,4755,9510,Pending
227,455,33,2024-06-25,Prague Warehouse,105,358,37590,Paid
228,160,66,2024-02-10,Plzen Warehouse,125,4000,500000,Pending
229,11,30,2025-05-20,Ostrava Warehouse,80,1015,81200,Paid
230,138,20,2023-08-24,Plzen Warehouse,185,4042,747770,Paid
231,457,60,2024-04-05,Pardubice Warehouse,47,337,15839,Overdue
232,78,82,2023-11-02,Olomouc Warehouse,164,3455,566620,Paid
233,77,74,2024-06-28,Liberec Warehouse,132,787,103884,Paid
234,441,24,2023-10-19,Brno Warehouse,152,1258,191216,Paid
235,254,4,2023-05-27,Brno Warehouse,91,2229,202839,Pending
236,409,37,2023-05-03,Plzen Warehouse,101,694,70094,Paid
237,258,4,2023-12-06,Ostrava Warehouse,190,2801,532190,Pending
238,320,77,2024-09-21,Hradec Kralove Warehouse,130,1850,240500,Paid
239,291,89,2024-08-14,Prague Warehouse,15,502,7530,Paid
240,263,77,2025-06-18,Brno Warehouse,49,921,45129,Overdue
241,85,18,2023-09-12,Plzen Warehouse,112,3938,441056,Paid
242,146,88,2025-08-17,Pardubice Warehouse,35,2335,81725,Paid
243,323,66,2024-09-14,Ceske Budejovice Warehouse,116,2640,306240,Pending
244,42,48,2025-04-04,Brno Warehouse,94,2402,225788,Pending
245,374,33,2024-07-11,Prague Warehouse,175,1797,314475,Paid
246,125,58,2025-10-21,Ostrava Warehouse,24,4028,96672,Pending
247,167,83,2025-10-08,Brno Warehouse,60,1713,102780,Pending
248,425,73,2025-06-15,Zlin Warehouse,77,4680,360360,Paid
249,241,28,2023-06-14,Ostrava Warehouse,48,3779,181392,Paid
250,459,35,2023-03-23,Brno Warehouse,151,3652,551452,Overdue
251,487,10,2025-06-03,Brno Warehouse,140,2327,325780,Paid
252,280,65,2024-10-22,Brno Warehouse,41,3778,154898,Paid
253,188,42,2024-05-27,Pardubice Warehouse,157,1564,245548,Paid
254,302,85,2023-02-22,Prague Warehouse,198,4839,958122,Paid
255,19,9,2023-07-07,Brno Warehouse,179,4982,891778,Pending
256,68,60,2024-04-13,Hradec Kralove Warehouse,128,3200,409600,Paid
257,218,15,2023-02-12,Prague Warehouse,151,4213,636163,Paid
258,102,99,2024-07-05,Olomouc Warehouse,31,2056,63736,Overdue
259,42,57,2023-03-24,Brno Warehouse,149,4193,624757,Pending
260,288,69,2023-12-25,Plzen Warehouse,24,4951,118824,Paid
261,167,22,2025-08-21,Prague Warehouse,9,786,7074,Paid
262,109,64,2025-11-28,Brno Warehouse,150,2136,320400,Pending
263,494,41,2025-06-24,Ostrava Warehouse,132,3679,485628,Overdue
264,36,87,2024-07-23,Brno Warehouse,77,700,53900,Paid
265,232,71,2024-01-07,Ostrava Warehouse,131,1143,149733,Paid
266,229,56,2025-06-11,Prague Warehouse,120,1479,177480,Paid
267,353,23,2025-10-04,Plzen Warehouse,156,4628,721968,Paid
268,164,25,2023-07-06,Ceske Budejovice Warehouse,90,1141,102690,Paid
269,387,91,2025-08-20,Prague Warehouse,117,1673,195741,Pending
270,73,6,2024-12-13,Prague Warehouse,110,4571,502810,Paid
271,136,34,2025-04-16,Pardubice Warehouse,121,1463,177023,Paid
272,353,63,2024-11-13,Plzen Warehouse,98,1110,108780,Paid
273,379,9,2024-10-19,Prague Warehouse,15,4911,73665,Paid
274,70,60,2023-08-03,Ostrava Warehouse,136,1356,184416,Paid
275,425,49,2023-11-26,Prague Warehouse,176,1227,215952,Paid
276,487,97,2024-11-06,Prague Warehouse,52,1123,58396,Paid
277,196,51,2025-04-23,Hradec Kralove Warehouse,55,3794,208670,Overdue
278,269,60,2025-10-11,Liberec Warehouse,37,2884,106708,Pending
279,49,70,2024-08-13,Olomouc Warehouse,132,4416,582912,Pending
280,316,37,2025-03-31,Brno Warehouse,55,1149,63195,Pending
281,130,31,2023-03-17,Prague Warehouse,12,2401,28812,Paid
282,444,98,2025-07-20,Pardubice Warehouse,147,1254,184338,Pending
283,5,41,2023-06-30,Prague Warehouse,185,129,23865,Overdue
284,428,62,2024-10-06,Brno Warehouse,37,886,32782,Paid
285,27,93,2024-05-31,Brno Warehouse,7,4205,29435,Overdue
286,160,58,2024-10-24,Plzen Warehouse,55,3260,179300,Paid
287,149,14,2023-08-26,Brno Warehouse,28,1270,35560,Paid
288,264,36,2025-04-07,Brno Warehouse,37,3298,122026,Paid
289,230,36,2025-11-19,Pardubice Warehouse,189,2845,537705,Overdue
290,200,79,2023-01-03,Plzen Warehouse,75,1464,109800,Paid
291,50,8,2025-08-04,Prague Warehouse,114,1641,187074,Pending
292,67,26,2025-04-26,Olomouc Warehouse,167,4246,709082,Paid
293,300,36,2023-04-22,Prague Warehouse,106,4593,486858,Paid
294,381,48,2024-01-20,Ostrava Warehouse,151,413,62363,Pending
295,58,85,2025-11-27,Plzen Warehouse,180,2795,503100,Paid
296,259,28,2025-01-10,Brno Warehouse,110,4709,517990,Paid
297,342,68,2025-10-17,Brno Warehouse,84,629,52836,Paid
298,326,62,2025-06-24,Olomouc Warehouse,11,2566,28226,Paid
299,130,80,2023-04-16,Hradec Kralove Warehouse,66,2341,154506,Paid
300,215,86,2024-02-21,Ostrava Warehouse,13,411,5343,Pending
301,172,76,2024-06-30,Prague Warehouse,169,1095,185055,Paid
302,258,80,2023-09-26,Brno Warehouse,177,2623,464271,Paid
303,102,51,2024-08-12,Brno Warehouse,15,2731,40965,Paid
304,209,42,2025-06-16,Brno Warehouse,56,363,20328,Paid
305,291,29,2025-09-19,Ostrava Warehouse,182,3952,719264,Pending
306,354,82,2023-09-06,Plzen Warehouse,159,120,19080,Paid
307,471,10,2023-03-01,Prague Warehouse,189,2624,495936,Paid
308,286,39,2024-05-05,Brno Warehouse,186,4744,882384,Paid
309,116,82,2023-11-21,Ostrava Warehouse,188,1296,243648,Paid
310,264,1,2024-09-28,Brno Warehouse,53,3233,171349,Pending
311,150,39,2023-01-29,Zlin Warehouse,61,305,18605,Paid
312,300,21,2025-04-15,Ostrava Warehouse,128,1736,222208,Paid
313,442,65,2023-07-10,Pardubice Warehouse,42,730,30660,Paid
314,36,15,2024-04-05,Ceske Budejovice Warehouse,29,2326,67454,Pending
315,453,4,2023-08-21,Pardubice Warehouse,155,2489,385795,Pending
316,333,60,2025-08-03,Prague Warehouse,44,4635,203940,Paid
317,477,61,2023-08-29,Hradec Kralove Warehouse,133,1198,159334,Overdue
318,287,20,2023-11-12,Prague Warehouse,180,389,70020,Pending
319,303,10,2025-10-17,Prague Warehouse,113,2704,305552,Paid
320,311,87,2024-08-20,Brno Warehouse,106,307,32542,Pending
321,208,34,2025-11-08,Prague Warehouse,181,3914,708434,Paid
322,106,48,2024-07-13,Prague Warehouse,180,371,66780,Overdue
323,446,33,2025-04-30,Brno Warehouse,38,3778,143564,Paid
324,158,98,2025-09-15,Brno Warehouse,172,514,88408,Paid
325,121,61,2025-08-25,Olomouc Warehouse,181,3568,645808,Overdue
326,55,10,2024-05-14,Prague Warehouse,115,4579,526585,Paid
327,400,54,2025-07-24,Ostrava Warehouse,130,1384,179920,Paid
328,12,84,2023-10-24,Zlin Warehouse,109,1762,192058,Pending
329,145,65,2025-02-24,Ostrava Warehouse,182,4114,748748,Pending
330,400,77,2024-01-26,Plzen Warehouse,84,1141,95844,Pending
331,396,1,2025-11-06,Hradec Kralove Warehouse,163,4190,682970,Paid
332,136,5,2023-10-07,Prague Warehouse,46,2394,110124,Paid
333,468,80,2023-05-23,Brno Warehouse,92,3813,350796,Paid
334,3,15,2024-07-19,Pardubice Warehouse,105,2561,268905,Paid
335,144,28,2025-04-29,Hradec Kralove Warehouse,183,1443,264069,Paid
336,30,95,2024-11-27,Plzen Warehouse,72,2862,206064,Paid
337,237,23,2025-11-05,Prague Warehouse,139,2328,323592,Paid
338,279,17,2024-07-01,Ceske Budejovice Warehouse,29,3467,100543,Paid
339,348,98,2023-01-06,Prague Warehouse,197,1043,205471,Paid
340,115,13,2024-08-02,Brno Warehouse,191,4256,812896,Paid
341,104,14,2024-09-03,Brno Warehouse,47,4159,195473,Paid
342,118,11,2025-09-29,Ostrava Warehouse,111,265,29415,Paid
343,5,28,2023-11-01,Liberec Warehouse,7,2005,14035,Paid
344,468,42,2025-07-03,Liberec Warehouse,117,3156,369252,Paid
345,360,96,2025-09-18,Olomouc Warehouse,64,1423,91072,Paid
346,248,99,2024-12-07,Prague Warehouse,82,4850,397700,Paid
347,364,61,2024-11-11,Ostrava Warehouse,64,450,28800,Paid
348,321,64,2025-02-11,Olomouc Warehouse,92,2410,221720,Paid
349,121,31,2025-07-21,Ostrava Warehouse,12,3409,40908,Paid
350,286,81,2024-10-21,Hradec Kralove Warehouse,12,1031,12372,Paid
351,149,73,2024-01-22,Pardubice Warehouse,36,3938,141768,Paid
352,84,10,2024-05-04,Plzen Warehouse,29,1213,35177,Paid
353,454,8,2025-02-23,Prague Warehouse,139,2286,317754,Pending
354,406,21,2024-04-23,Plzen Warehouse,181,2089,378109,Paid
355,466,77,2025-04-21,Ceske Budejovice Warehouse,198,1485,294030,Pending
356,456,59,2023-03-31,Brno Warehouse,85,3584,304640,Paid
357,231,50,2024-10-13,Pardubice Warehouse,74,1216,89984,Pending
358,288,69,2025-08-26,Brno Warehouse,47,233,10951,Paid
359,161,70,2025-02-19,Plzen Warehouse,161,4051,652211,Paid
360,272,30,2025-03-01,Plzen Warehouse,81,1327,107487,Paid
361,460,95,2023-11-08,Olomouc Warehouse,195,3209,625755,Paid
362,38,17,2025-10-11,Ceske Budejovice Warehouse,121,2604,315084,Pending
363,500,75,2023-03-17,Brno Warehouse,43,3705,159315,Paid
364,226,20,2023-09-16,Brno Warehouse,146,1981,289226,Paid
365,142,48,2025-10-25,Olomouc Warehouse,74,4633,342842,Paid
366,292,73,2024-11-10,Prague Warehouse,53,779,41287,Paid
367,481,2,2023-07-25,Ostrava Warehouse,39,2794,108966,Pending
368,151,37,2025-06-20,Prague Warehouse,107,2769,296283,Paid
369,114,1,2023-07-24,Prague Warehouse,162,1347,218214,Paid
370,237,4,2025-12-13,Olomouc Warehouse,37,1291,47767,Paid
371,66,100,2025-07-24,Olomouc Warehouse,169,1230,207870,Paid
372,361,54,2023-02-01,Prague Warehouse,97,1503,145791,Paid
373,341,25,2023-10-23,Brno Warehouse,49,2171,106379,Pending
374,258,3,2025-04-19,Prague Warehouse,128,1430,183040,Paid
375,475,9,2023-11-13,Ostrava Warehouse,10,1481,14810,Paid
376,249,86,2023-06-03,Prague Warehouse,40,469,18760,Pending
377,457,87,2025-08-19,Ostrava Warehouse,146,3894,568524,Overdue
378,449,76,2024-06-26,Olomouc Warehouse,153,2590,396270,Overdue
379,331,74,2024-11-24,Olomouc Warehouse,106,1276,135256,Pending
380,323,34,2025-03-25,Brno Warehouse,41,475,19475,Paid
381,180,43,2023-06-14,Olomouc Warehouse,164,2860,469040,Pending
382,190,74,2024-11-03,Ceske Budejovice Warehouse,2,3390,6780,Pending
383,407,94,2025-12-28,Brno Warehouse,177,2043,361611,Paid
384,154,22,2025-02-17,Brno Warehouse,195,1057,206115,Paid
385,196,70,2024-10-10,Plzen Warehouse,53,910,48230,Paid
386,466,2,2025-09-26,Brno Warehouse,147,1633,240051,Paid
387,311,94,2023-03-15,Plzen Warehouse,26,4530,117780,Paid
388,262,66,2023-05-21,Pardubice Warehouse,54,509,27486,Pending
389,419,32,2024-04-25,Ostrava Warehouse,51,153,7803,Paid
390,406,16,2024-08-11,Olomouc Warehouse,153,4896,749088,Pending
391,427,76,2024-04-10,Plzen Warehouse,114,1198,136572,Paid
392,143,1,2023-07-05,Prague Warehouse,17,2496,42432,Paid
393,342,72,2025-06-07,Prague Warehouse,120,1074,128880,Overdue
394,316,48,2023-07-21,Ceske Budejovice Warehouse,189,4588,867132,Paid
